,x,"Freq.
Ass.","Freq.
Relativa",Rel.,,MEDIA
183,30,,0,0,,
184,30,,0,0,,
185,30,,0,0,,
186,30,,0,0,,
187,30,,0,0,,
188,30,,0,0,,
189,30,,0,0,,
190,30,,0,0,,
191,30,,0,0,,
192,30,,0,0,,
193,30,,0,0,,
194,30,,0,0,,
195,30,,0,0,,
196,30,,0,0,,
197,30,,0,0,,
198,30,,0,0,,
199,30,,0,0,,
200,30,,0,0,,
201,30,,0,0,,
202,30,,0,0,,
203,30,,0,0,,
204,30,,0,0,,
205,30,,0,0,,
206,30,,0,0,,
207,30,,0,0,,
208,30,,0,0,,
209,30,,0,0,,
210,30,,0,0,,
211,30,,0,0,,
212,30,,0,0,,
213,30,,0,0,,
214,30,,0,0,,
215,30,,0,0,,
216,30,,0,0,,
217,30,,0,0,,
218,30,,0,0,,
219,30,,0,0,,
220,31,28,0.109375,3.390625,,
221,31,,0,0,,
222,31,,0,0,,
223,31,,0,0,,
224,31,,0,0,,
225,31,,0,0,,
226,31,,0,0,,
227,31,,0,0,,
228,31,,0,0,,
229,31,,0,0,,
230,31,,0,0,,
231,31,,0,0,,
232,31,,0,0,,
233,31,,0,0,,
234,31,,0,0,,
235,31,,0,0,,
236,31,,0,0,,
237,31,,0,0,,
238,31,,0,0,,
239,31,,0,0,,
240,31,,0,0,,
241,31,,0,0,,
242,31,,0,0,,
243,31,,0,0,,
244,31,,0,0,,
245,31,,0,0,,
246,31,,0,0,,
247,31,,0,0,,
248,32,8,0.03125,1,,
249,32,,0,0,,
250,32,,0,0,,
251,32,,0,0,,
252,32,,0,0,,
253,32,,0,0,,
254,32,,0,0,,
255,32,,0,0,,
256,33,1,0.00390625,0.12890625,,
,,256,1,29,,
,,,,Σi*p(i),,
